Mean Overscan Level (ADU),Detector,Amp,Run,READTIME setting,exp_id
26680.33858733859,R12_S12,C03,13040,2.232,3021111600224
26788.354774854775,R12_S12,C02,13040,2.232,3021111600224
26646.23308173308,R12_S12,C01,13040,2.232,3021111600224
26935.359677359676,R12_S12,C00,13040,2.232,3021111600224
26733.142847892846,R12_S12,C10,13040,2.232,3021111600225
26811.10915010915,R12_S12,C11,13040,2.232,3021111600225
26615.00964775965,R12_S12,C12,13040,2.232,3021111600225
26429.28378103378,R12_S12,C13,13040,2.232,3021111600225
26882.09190809191,R12_S12,C14,13040,2.232,3021111600225
26569.903883153882,R12_S12,C15,13040,2.232,3021111600225
26922.087995337995,R12_S12,C16,13040,2.232,3021111600225
26851.58704258704,R12_S12,C17,13040,2.232,3021111600225
26444.545843045842,R12_S12,C07,13040,2.232,3021111600225
26698.74495874496,R12_S12,C06,13040,2.232,3021111600225
26861.44746919747,R12_S12,C05,13040,2.232,3021111600225
26797.414992414993,R12_S12,C04,13040,2.232,3021111600225
26679.572214822216,R12_S12,C03,13040,2.232,3021111600225
26788.59631109631,R12_S12,C02,13040,2.232,3021111600225
26645.8920986421,R12_S12,C01,13040,2.232,3021111600225
26935.69277019277,R12_S12,C00,13040,2.232,3021111600225
26733.531736781737,R12_S12,C10,13040,2.232,3021111600226
26810.778804528803,R12_S12,C11,13040,2.232,3021111600226
26614.921800421802,R12_S12,C12,13040,2.232,3021111600226
26429.659775409775,R12_S12,C13,13040,2.232,3021111600226
26882.462158212158,R12_S12,C14,13040,2.232,3021111600226
26569.829143079143,R12_S12,C15,13040,2.232,3021111600226
26922.105644355644,R12_S12,C16,13040,2.232,3021111600226
26851.674751174753,R12_S12,C17,13040,2.232,3021111600226
26444.331196581195,R12_S12,C07,13040,2.232,3021111600226
26698.96783771784,R12_S12,C06,13040,2.232,3021111600226
26861.77034077034,R12_S12,C05,13040,2.232,3021111600226
26797.927775927776,R12_S12,C04,13040,2.232,3021111600226
26679.941382691384,R12_S12,C03,13040,2.232,3021111600226
26787.819421319422,R12_S12,C02,13040,2.232,3021111600226
26647.22286972287,R12_S12,C01,13040,2.232,3021111600226
26935.74311799312,R12_S12,C00,13040,2.232,3021111600226
26733.327727827727,R12_S12,C10,13040,2.232,3021111600227
26810.57239057239,R12_S12,C11,13040,2.232,3021111600227
26615.231000481,R12_S12,C12,13040,2.232,3021111600227
26429.53907203907,R12_S12,C13,13040,2.232,3021111600227
26882.036352536354,R12_S12,C14,13040,2.232,3021111600227
26570.32683057683,R12_S12,C15,13040,2.232,3021111600227
26922.31365856366,R12_S12,C16,13040,2.232,3021111600227
26852.190143190142,R12_S12,C17,13040,2.232,3021111600227
26444.596708846708,R12_S12,C07,13040,2.232,3021111600227
26699.314787064788,R12_S12,C06,13040,2.232,3021111600227
26861.688441188442,R12_S12,C05,13040,2.232,3021111600227
26797.97240722241,R12_S12,C04,13040,2.232,3021111600227
26679.883662633663,R12_S12,C03,13040,2.232,3021111600227
26787.950956450957,R12_S12,C02,13040,2.232,3021111600227
26646.8252025752,R12_S12,C01,13040,2.232,3021111600227
26935.88527213527,R12_S12,C00,13040,2.232,3021111600227
26733.51803751804,R12_S12,C10,13040,2.232,3021111600228
26810.82001332001,R12_S12,C11,13040,2.232,3021111600228
26614.98826173826,R12_S12,C12,13040,2.232,3021111600228
26429.624653124654,R12_S12,C13,13040,2.232,3021111600228
26882.19856994857,R12_S12,C14,13040,2.232,3021111600228
26569.985754985755,R12_S12,C15,13040,2.232,3021111600228
26921.940235690236,R12_S12,C16,13040,2.232,3021111600228
